Title,"HE student enrolments by CAH level 1 subject, sex, first year marker, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
CAH level 1,First year marker,Level of study,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Other years,All,Part-time,England,Male,2019/20,1920
01 Medicine and dentistry,Other years,All,Part-time,England,Other,2019/20,20
01 Medicine and dentistry,Other years,All,Part-time,England,Total,2019/20,4710
01 Medicine and dentistry,Other years,All,All,Northern Ireland,Female,2019/20,970
01 Medicine and dentistry,Other years,All,All,Northern Ireland,Male,2019/20,560
01 Medicine and dentistry,Other years,All,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Other years,All,All,Northern Ireland,Total,2019/20,1530
01 Medicine and dentistry,Other years,All,Full-time,Northern Ireland,Female,2019/20,935
01 Medicine and dentistry,Other years,All,Full-time,Northern Ireland,Male,2019/20,535
01 Medicine and dentistry,Other years,All,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Other years,All,Full-time,Northern Ireland,Total,2019/20,1475
01 Medicine and dentistry,Other years,All,Part-time,Northern Ireland,Female,2019/20,35
01 Medicine and dentistry,Other years,All,Part-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,Other years,All,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Other years,All,Part-time,Northern Ireland,Total,2019/20,60
01 Medicine and dentistry,Other years,All,All,Scotland,Female,2019/20,3385
01 Medicine and dentistry,Other years,All,All,Scotland,Male,2019/20,2125
01 Medicine and dentistry,Other years,All,All,Scotland,Other,2019/20,10
01 Medicine and dentistry,Other years,All,All,Scotland,Total,2019/20,5520
01 Medicine and dentistry,Other years,All,Full-time,Scotland,Female,2019/20,3175
01 Medicine and dentistry,Other years,All,Full-time,Scotland,Male,2019/20,1955
01 Medicine and dentistry,Other years,All,Full-time,Scotland,Other,2019/20,5
01 Medicine and dentistry,Other years,All,Full-time,Scotland,Total,2019/20,5135
01 Medicine and dentistry,Other years,All,Part-time,Scotland,Female,2019/20,215
01 Medicine and dentistry,Other years,All,Part-time,Scotland,Male,2019/20,170
01 Medicine and dentistry,Other years,All,Part-time,Scotland,Other,2019/20,5
01 Medicine and dentistry,Other years,All,Part-time,Scotland,Total,2019/20,385
01 Medicine and dentistry,Other years,All,All,Wales,Female,2019/20,1630
01 Medicine and dentistry,Other years,All,All,Wales,Male,2019/20,875
01 Medicine and dentistry,Other years,All,All,Wales,Other,2019/20,0
01 Medicine and dentistry,Other years,All,All,Wales,Total,2019/20,2500
01 Medicine and dentistry,Other years,All,Full-time,Wales,Female,2019/20,1390
01 Medicine and dentistry,Other years,All,Full-time,Wales,Male,2019/20,765
01 Medicine and dentistry,Other years,All,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Other years,All,Full-time,Wales,Total,2019/20,2155
01 Medicine and dentistry,Other years,All,Part-time,Wales,Female,2019/20,240
01 Medicine and dentistry,Other years,All,Part-time,Wales,Male,2019/20,105
01 Medicine and dentistry,Other years,All,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Other years,All,Part-time,Wales,Total,2019/20,345
01 Medicine and dentistry,All,Postgraduate (research),All,All,Female,2019/20,4310
01 Medicine and dentistry,All,Postgraduate (research),All,All,Male,2019/20,3015
01 Medicine and dentistry,All,Postgraduate (research),All,All,Other,2019/20,40
01 Medicine and dentistry,All,Postgraduate (research),All,All,Total,2019/20,7365
01 Medicine and dentistry,All,Postgraduate (research),Full-time,All,Female,2019/20,3370
01 Medicine and dentistry,All,Postgraduate (research),Full-time,All,Male,2019/20,2315
01 Medicine and dentistry,All,Postgraduate (research),Full-time,All,Other,2019/20,30
01 Medicine and dentistry,All,Postgraduate (research),Full-time,All,Total,2019/20,5715
01 Medicine and dentistry,All,Postgraduate (research),Part-time,All,Female,2019/20,940
01 Medicine and dentistry,All,Postgraduate (research),Part-time,All,Male,2019/20,700
01 Medicine and dentistry,All,Postgraduate (research),Part-time,All,Other,2019/20,10
01 Medicine and dentistry,All,Postgraduate (research),Part-time,All,Total,2019/20,1650
01 Medicine and dentistry,All,Postgraduate (research),All,England,Female,2019/20,3480
01 Medicine and dentistry,All,Postgraduate (research),All,England,Male,2019/20,2450
01 Medicine and dentistry,All,Postgraduate (research),All,England,Other,2019/20,35
01 Medicine and dentistry,All,Postgraduate (research),All,England,Total,2019/20,5970
01 Medicine and dentistry,All,Postgraduate (research),Full-time,England,Female,2019/20,2685
01 Medicine and dentistry,All,Postgraduate (research),Full-time,England,Male,2019/20,1865
01 Medicine and dentistry,All,Postgraduate (research),Full-time,England,Other,2019/20,30
01 Medicine and dentistry,All,Postgraduate (research),Full-time,England,Total,2019/20,4580
01 Medicine and dentistry,All,Postgraduate (research),Part-time,England,Female,2019/20,795
01 Medicine and dentistry,All,Postgraduate (research),Part-time,England,Male,2019/20,585
01 Medicine and dentistry,All,Postgraduate (research),Part-time,England,Other,2019/20,10
01 Medicine and dentistry,All,Postgraduate (research),Part-time,England,Total,2019/20,1390
01 Medicine and dentistry,All,Postgraduate (research),All,Northern Ireland,Female,2019/20,150
01 Medicine and dentistry,All,Postgraduate (research),All,Northern Ireland,Male,2019/20,90
01 Medicine and dentistry,All,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),All,Northern Ireland,Total,2019/20,240
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,130
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,75
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,205
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,20
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,20
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,40
01 Medicine and dentistry,All,Postgraduate (research),All,Scotland,Female,2019/20,490
01 Medicine and dentistry,All,Postgraduate (research),All,Scotland,Male,2019/20,360
01 Medicine and dentistry,All,Postgraduate (research),All,Scotland,Other,2019/20,5
01 Medicine and dentistry,All,Postgraduate (research),All,Scotland,Total,2019/20,860
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Scotland,Female,2019/20,410
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Scotland,Male,2019/20,290
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Scotland,Other,2019/20,5
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Scotland,Total,2019/20,705
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Scotland,Female,2019/20,85
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Scotland,Male,2019/20,70
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Scotland,Total,2019/20,155
01 Medicine and dentistry,All,Postgraduate (research),All,Wales,Female,2019/20,185
01 Medicine and dentistry,All,Postgraduate (research),All,Wales,Male,2019/20,110
01 Medicine and dentistry,All,Postgraduate (research),All,Wales,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),All,Wales,Total,2019/20,295
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Wales,Female,2019/20,145
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Wales,Male,2019/20,90
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),Full-time,Wales,Total,2019/20,230
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Wales,Female,2019/20,45
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Wales,Male,2019/20,20
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,Postgraduate (research),Part-time,Wales,Total,2019/20,65
01 Medicine and dentistry,First year,Postgraduate (research),All,All,Female,2019/20,1290
01 Medicine and dentistry,First year,Postgraduate (research),All,All,Male,2019/20,845
01 Medicine and dentistry,First year,Postgraduate (research),All,All,Other,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),All,All,Total,2019/20,2140
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,All,Female,2019/20,1105
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,All,Male,2019/20,725
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,All,Other,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,All,Total,2019/20,1835
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,All,Female,2019/20,185
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,All,Male,2019/20,120
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,All,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,All,Total,2019/20,305
01 Medicine and dentistry,First year,Postgraduate (research),All,England,Female,2019/20,1030
01 Medicine and dentistry,First year,Postgraduate (research),All,England,Male,2019/20,655
01 Medicine and dentistry,First year,Postgraduate (research),All,England,Other,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),All,England,Total,2019/20,1690
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,England,Female,2019/20,895
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,England,Male,2019/20,565
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,England,Other,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,England,Total,2019/20,1465
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,England,Female,2019/20,135
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,England,Male,2019/20,90
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,England,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,England,Total,2019/20,225
01 Medicine and dentistry,First year,Postgraduate (research),All,Northern Ireland,Female,2019/20,50
01 Medicine and dentistry,First year,Postgraduate (research),All,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,First year,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),All,Northern Ireland,Total,2019/20,75
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,40
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,65
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,10
01 Medicine and dentistry,First year,Postgraduate (research),All,Scotland,Female,2019/20,160
01 Medicine and dentistry,First year,Postgraduate (research),All,Scotland,Male,2019/20,120
01 Medicine and dentistry,First year,Postgraduate (research),All,Scotland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),All,Scotland,Total,2019/20,280
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Scotland,Female,2019/20,135
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Scotland,Male,2019/20,100
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Scotland,Total,2019/20,235
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Scotland,Female,2019/20,25
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Scotland,Male,2019/20,20
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Scotland,Total,2019/20,45
01 Medicine and dentistry,First year,Postgraduate (research),All,Wales,Female,2019/20,50
