Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Other undergraduate,All,Northern Ireland,Female,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Northern Ireland,Male,2019/20,5
01 Medicine and dentistry,Other undergraduate,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Northern Ireland,Total,2019/20,5
01 Medicine and dentistry,Other undergraduate,Full-time,Northern Ireland,Female,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Northern Ireland,Male,2019/20,5
01 Medicine and dentistry,Other undergraduate,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Northern Ireland,Total,2019/20,5
01 Medicine and dentistry,Other undergraduate,All,Scotland,Female,2019/20,30
01 Medicine and dentistry,Other undergraduate,All,Scotland,Male,2019/20,20
01 Medicine and dentistry,Other undergraduate,All,Scotland,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Scotland,Total,2019/20,50
01 Medicine and dentistry,Other undergraduate,Full-time,Scotland,Female,2019/20,30
01 Medicine and dentistry,Other undergraduate,Full-time,Scotland,Male,2019/20,20
01 Medicine and dentistry,Other undergraduate,Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Scotland,Total,2019/20,50
01 Medicine and dentistry,Other undergraduate,All,Wales,Female,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Wales,Male,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Wales,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,Wales,Total,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Wales,Female,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Wales,Male,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,Wales,Total,2019/20,0
01 Medicine and dentistry,All undergraduate,All,All,Female,2019/20,6450
01 Medicine and dentistry,All undergraduate,All,All,Male,2019/20,4340
01 Medicine and dentistry,All undergraduate,All,All,Other,2019/20,10
01 Medicine and dentistry,All undergraduate,All,All,Total,2019/20,10800
01 Medicine and dentistry,All undergraduate,Full-time,All,Female,2019/20,6270
01 Medicine and dentistry,All undergraduate,Full-time,All,Male,2019/20,4320
01 Medicine and dentistry,All undergraduate,Full-time,All,Other,2019/20,10
01 Medicine and dentistry,All undergraduate,Full-time,All,Total,2019/20,10595
01 Medicine and dentistry,All undergraduate,Part-time,All,Female,2019/20,185
01 Medicine and dentistry,All undergraduate,Part-time,All,Male,2019/20,20
01 Medicine and dentistry,All undergraduate,Part-time,All,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,All,Total,2019/20,205
01 Medicine and dentistry,All undergraduate,All,England,Female,2019/20,4965
01 Medicine and dentistry,All undergraduate,All,England,Male,2019/20,3455
01 Medicine and dentistry,All undergraduate,All,England,Other,2019/20,5
01 Medicine and dentistry,All undergraduate,All,England,Total,2019/20,8425
01 Medicine and dentistry,All undergraduate,Full-time,England,Female,2019/20,4785
01 Medicine and dentistry,All undergraduate,Full-time,England,Male,2019/20,3435
01 Medicine and dentistry,All undergraduate,Full-time,England,Other,2019/20,5
01 Medicine and dentistry,All undergraduate,Full-time,England,Total,2019/20,8225
01 Medicine and dentistry,All undergraduate,Part-time,England,Female,2019/20,180
01 Medicine and dentistry,All undergraduate,Part-time,England,Male,2019/20,20
01 Medicine and dentistry,All undergraduate,Part-time,England,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,England,Total,2019/20,200
01 Medicine and dentistry,All undergraduate,All,Northern Ireland,Female,2019/20,195
01 Medicine and dentistry,All undergraduate,All,Northern Ireland,Male,2019/20,125
01 Medicine and dentistry,All undergraduate,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,All,Northern Ireland,Total,2019/20,320
01 Medicine and dentistry,All undergraduate,Full-time,Northern Ireland,Female,2019/20,195
01 Medicine and dentistry,All undergraduate,Full-time,Northern Ireland,Male,2019/20,120
01 Medicine and dentistry,All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Full-time,Northern Ireland,Total,2019/20,315
01 Medicine and dentistry,All undergraduate,Part-time,Northern Ireland,Female,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Northern Ireland,Male,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Northern Ireland,Total,2019/20,5
01 Medicine and dentistry,All undergraduate,All,Scotland,Female,2019/20,910
01 Medicine and dentistry,All undergraduate,All,Scotland,Male,2019/20,570
01 Medicine and dentistry,All undergraduate,All,Scotland,Other,2019/20,5
01 Medicine and dentistry,All undergraduate,All,Scotland,Total,2019/20,1485
01 Medicine and dentistry,All undergraduate,Full-time,Scotland,Female,2019/20,910
01 Medicine and dentistry,All undergraduate,Full-time,Scotland,Male,2019/20,570
01 Medicine and dentistry,All undergraduate,Full-time,Scotland,Other,2019/20,5
01 Medicine and dentistry,All undergraduate,Full-time,Scotland,Total,2019/20,1485
01 Medicine and dentistry,All undergraduate,All,Wales,Female,2019/20,380
01 Medicine and dentistry,All undergraduate,All,Wales,Male,2019/20,195
01 Medicine and dentistry,All undergraduate,All,Wales,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,All,Wales,Total,2019/20,575
01 Medicine and dentistry,All undergraduate,Full-time,Wales,Female,2019/20,375
01 Medicine and dentistry,All undergraduate,Full-time,Wales,Male,2019/20,195
01 Medicine and dentistry,All undergraduate,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Full-time,Wales,Total,2019/20,570
01 Medicine and dentistry,All undergraduate,Part-time,Wales,Female,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Wales,Male,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All undergraduate,Part-time,Wales,Total,2019/20,5
02 Subjects allied to medicine,All,All,All,Female,2019/20,67640
02 Subjects allied to medicine,All,All,All,Male,2019/20,17640
02 Subjects allied to medicine,All,All,All,Other,2019/20,75
02 Subjects allied to medicine,All,All,All,Total,2019/20,85360
02 Subjects allied to medicine,All,Full-time,All,Female,2019/20,50740
02 Subjects allied to medicine,All,Full-time,All,Male,2019/20,13020
02 Subjects allied to medicine,All,Full-time,All,Other,2019/20,55
02 Subjects allied to medicine,All,Full-time,All,Total,2019/20,63815
02 Subjects allied to medicine,All,Part-time,All,Female,2019/20,16905
02 Subjects allied to medicine,All,Part-time,All,Male,2019/20,4620
02 Subjects allied to medicine,All,Part-time,All,Other,2019/20,20
02 Subjects allied to medicine,All,Part-time,All,Total,2019/20,21545
02 Subjects allied to medicine,All,All,England,Female,2019/20,54885
02 Subjects allied to medicine,All,All,England,Male,2019/20,14910
02 Subjects allied to medicine,All,All,England,Other,2019/20,65
02 Subjects allied to medicine,All,All,England,Total,2019/20,69855
02 Subjects allied to medicine,All,Full-time,England,Female,2019/20,41385
02 Subjects allied to medicine,All,Full-time,England,Male,2019/20,11030
02 Subjects allied to medicine,All,Full-time,England,Other,2019/20,50
02 Subjects allied to medicine,All,Full-time,England,Total,2019/20,52465
02 Subjects allied to medicine,All,Part-time,England,Female,2019/20,13500
02 Subjects allied to medicine,All,Part-time,England,Male,2019/20,3880
02 Subjects allied to medicine,All,Part-time,England,Other,2019/20,15
02 Subjects allied to medicine,All,Part-time,England,Total,2019/20,17395
02 Subjects allied to medicine,All,All,Northern Ireland,Female,2019/20,2545
02 Subjects allied to medicine,All,All,Northern Ireland,Male,2019/20,485
02 Subjects allied to medicine,All,All,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,All,All,Northern Ireland,Total,2019/20,3030
02 Subjects allied to medicine,All,Full-time,Northern Ireland,Female,2019/20,1355
02 Subjects allied to medicine,All,Full-time,Northern Ireland,Male,2019/20,270
02 Subjects allied to medicine,All,Full-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,All,Full-time,Northern Ireland,Total,2019/20,1625
02 Subjects allied to medicine,All,Part-time,Northern Ireland,Female,2019/20,1190
02 Subjects allied to medicine,All,Part-time,Northern Ireland,Male,2019/20,215
02 Subjects allied to medicine,All,Part-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,All,Part-time,Northern Ireland,Total,2019/20,1405
02 Subjects allied to medicine,All,All,Scotland,Female,2019/20,6805
02 Subjects allied to medicine,All,All,Scotland,Male,2019/20,1440
02 Subjects allied to medicine,All,All,Scotland,Other,2019/20,10
02 Subjects allied to medicine,All,All,Scotland,Total,2019/20,8255
02 Subjects allied to medicine,All,Full-time,Scotland,Female,2019/20,5430
02 Subjects allied to medicine,All,Full-time,Scotland,Male,2019/20,1150
02 Subjects allied to medicine,All,Full-time,Scotland,Other,2019/20,5
02 Subjects allied to medicine,All,Full-time,Scotland,Total,2019/20,6585
02 Subjects allied to medicine,All,Part-time,Scotland,Female,2019/20,1375
02 Subjects allied to medicine,All,Part-time,Scotland,Male,2019/20,290
02 Subjects allied to medicine,All,Part-time,Scotland,Other,2019/20,5
02 Subjects allied to medicine,All,Part-time,Scotland,Total,2019/20,1670
02 Subjects allied to medicine,All,All,Wales,Female,2019/20,3405
02 Subjects allied to medicine,All,All,Wales,Male,2019/20,805
02 Subjects allied to medicine,All,All,Wales,Other,2019/20,5
02 Subjects allied to medicine,All,All,Wales,Total,2019/20,4215
02 Subjects allied to medicine,All,Full-time,Wales,Female,2019/20,2565
02 Subjects allied to medicine,All,Full-time,Wales,Male,2019/20,575
02 Subjects allied to medicine,All,Full-time,Wales,Other,2019/20,0
02 Subjects allied to medicine,All,Full-time,Wales,Total,2019/20,3140
02 Subjects allied to medicine,All,Part-time,Wales,Female,2019/20,840
02 Subjects allied to medicine,All,Part-time,Wales,Male,2019/20,230
02 Subjects allied to medicine,All,Part-time,Wales,Other,2019/20,5
02 Subjects allied to medicine,All,Part-time,Wales,Total,2019/20,1075
02 Subjects allied to medicine,Postgraduate (research),All,All,Female,2019/20,1240
02 Subjects allied to medicine,Postgraduate (research),All,All,Male,2019/20,760
02 Subjects allied to medicine,Postgraduate (research),All,All,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),All,All,Total,2019/20,2000
02 Subjects allied to medicine,Postgraduate (research),Full-time,All,Female,2019/20,1045
02 Subjects allied to medicine,Postgraduate (research),Full-time,All,Male,2019/20,645
02 Subjects allied to medicine,Postgraduate (research),Full-time,All,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Full-time,All,Total,2019/20,1690
02 Subjects allied to medicine,Postgraduate (research),Part-time,All,Female,2019/20,195
02 Subjects allied to medicine,Postgraduate (research),Part-time,All,Male,2019/20,115
02 Subjects allied to medicine,Postgraduate (research),Part-time,All,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,All,Total,2019/20,305
02 Subjects allied to medicine,Postgraduate (research),All,England,Female,2019/20,1030
02 Subjects allied to medicine,Postgraduate (research),All,England,Male,2019/20,660
02 Subjects allied to medicine,Postgraduate (research),All,England,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),All,England,Total,2019/20,1690
02 Subjects allied to medicine,Postgraduate (research),Full-time,England,Female,2019/20,865
02 Subjects allied to medicine,Postgraduate (research),Full-time,England,Male,2019/20,565
02 Subjects allied to medicine,Postgraduate (research),Full-time,England,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Full-time,England,Total,2019/20,1430
02 Subjects allied to medicine,Postgraduate (research),Part-time,England,Female,2019/20,165
02 Subjects allied to medicine,Postgraduate (research),Part-time,England,Male,2019/20,95
02 Subjects allied to medicine,Postgraduate (research),Part-time,England,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,England,Total,2019/20,260
02 Subjects allied to medicine,Postgraduate (research),All,Northern Ireland,Female,2019/20,30
02 Subjects allied to medicine,Postgraduate (research),All,Northern Ireland,Male,2019/20,15
02 Subjects allied to medicine,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),All,Northern Ireland,Total,2019/20,45
02 Subjects allied to medicine,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,25
02 Subjects allied to medicine,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,15
02 Subjects allied to medicine,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,45
02 Subjects allied to medicine,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,5
02 Subjects allied to medicine,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,5
02 Subjects allied to medicine,Postgraduate (research),All,Scotland,Female,2019/20,140
02 Subjects allied to medicine,Postgraduate (research),All,Scotland,Male,2019/20,60
02 Subjects allied to medicine,Postgraduate (research),All,Scotland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),All,Scotland,Total,2019/20,200
02 Subjects allied to medicine,Postgraduate (research),Full-time,Scotland,Female,2019/20,125
02 Subjects allied to medicine,Postgraduate (research),Full-time,Scotland,Male,2019/20,50
02 Subjects allied to medicine,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Full-time,Scotland,Total,2019/20,175
02 Subjects allied to medicine,Postgraduate (research),Part-time,Scotland,Female,2019/20,15
02 Subjects allied to medicine,Postgraduate (research),Part-time,Scotland,Male,2019/20,10
02 Subjects allied to medicine,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,Scotland,Total,2019/20,25
02 Subjects allied to medicine,Postgraduate (research),All,Wales,Female,2019/20,40
02 Subjects allied to medicine,Postgraduate (research),All,Wales,Male,2019/20,25
02 Subjects allied to medicine,Postgraduate (research),All,Wales,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),All,Wales,Total,2019/20,65
02 Subjects allied to medicine,Postgraduate (research),Full-time,Wales,Female,2019/20,30
02 Subjects allied to medicine,Postgraduate (research),Full-time,Wales,Male,2019/20,15
02 Subjects allied to medicine,Postgraduate (research),Full-time,Wales,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Full-time,Wales,Total,2019/20,45
02 Subjects allied to medicine,Postgraduate (research),Part-time,Wales,Female,2019/20,10
02 Subjects allied to medicine,Postgraduate (research),Part-time,Wales,Male,2019/20,10
02 Subjects allied to medicine,Postgraduate (research),Part-time,Wales,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (research),Part-time,Wales,Total,2019/20,20
02 Subjects allied to medicine,Postgraduate (taught),All,All,Female,2019/20,17875
02 Subjects allied to medicine,Postgraduate (taught),All,All,Male,2019/20,5385
02 Subjects allied to medicine,Postgraduate (taught),All,All,Other,2019/20,45
02 Subjects allied to medicine,Postgraduate (taught),All,All,Total,2019/20,23305
02 Subjects allied to medicine,Postgraduate (taught),Full-time,All,Female,2019/20,7830
02 Subjects allied to medicine,Postgraduate (taught),Full-time,All,Male,2019/20,2485
02 Subjects allied to medicine,Postgraduate (taught),Full-time,All,Other,2019/20,30
02 Subjects allied to medicine,Postgraduate (taught),Full-time,All,Total,2019/20,10345
02 Subjects allied to medicine,Postgraduate (taught),Part-time,All,Female,2019/20,10040
02 Subjects allied to medicine,Postgraduate (taught),Part-time,All,Male,2019/20,2900
02 Subjects allied to medicine,Postgraduate (taught),Part-time,All,Other,2019/20,15
02 Subjects allied to medicine,Postgraduate (taught),Part-time,All,Total,2019/20,12955
02 Subjects allied to medicine,Postgraduate (taught),All,England,Female,2019/20,14400
02 Subjects allied to medicine,Postgraduate (taught),All,England,Male,2019/20,4505
02 Subjects allied to medicine,Postgraduate (taught),All,England,Other,2019/20,40
02 Subjects allied to medicine,Postgraduate (taught),All,England,Total,2019/20,18945
02 Subjects allied to medicine,Postgraduate (taught),Full-time,England,Female,2019/20,6490
02 Subjects allied to medicine,Postgraduate (taught),Full-time,England,Male,2019/20,2110
02 Subjects allied to medicine,Postgraduate (taught),Full-time,England,Other,2019/20,25
02 Subjects allied to medicine,Postgraduate (taught),Full-time,England,Total,2019/20,8625
02 Subjects allied to medicine,Postgraduate (taught),Part-time,England,Female,2019/20,7910
02 Subjects allied to medicine,Postgraduate (taught),Part-time,England,Male,2019/20,2395
02 Subjects allied to medicine,Postgraduate (taught),Part-time,England,Other,2019/20,15
02 Subjects allied to medicine,Postgraduate (taught),Part-time,England,Total,2019/20,10320
02 Subjects allied to medicine,Postgraduate (taught),All,Northern Ireland,Female,2019/20,870
02 Subjects allied to medicine,Postgraduate (taught),All,Northern Ireland,Male,2019/20,175
02 Subjects allied to medicine,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (taught),All,Northern Ireland,Total,2019/20,1045
02 Subjects allied to medicine,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,145
02 Subjects allied to medicine,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,20
02 Subjects allied to medicine,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,165
02 Subjects allied to medicine,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,725
02 Subjects allied to medicine,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,155
02 Subjects allied to medicine,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
02 Subjects allied to medicine,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,880
02 Subjects allied to medicine,Postgraduate (taught),All,Scotland,Female,2019/20,1815
