Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,All,Total,2019/20,2735
01 Medicine and dentistry,Postgraduate (taught),All,England,Female,2019/20,3305
01 Medicine and dentistry,Postgraduate (taught),All,England,Male,2019/20,1795
01 Medicine and dentistry,Postgraduate (taught),All,England,Other,2019/20,20
01 Medicine and dentistry,Postgraduate (taught),All,England,Total,2019/20,5120
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Female,2019/20,1895
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Male,2019/20,850
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Full-time,England,Total,2019/20,2750
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Female,2019/20,1415
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Male,2019/20,950
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Other,2019/20,10
01 Medicine and dentistry,Postgraduate (taught),Part-time,England,Total,2019/20,2370
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Female,2019/20,70
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Male,2019/20,40
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Northern Ireland,Total,2019/20,110
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,45
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,70
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,25
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,15
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,40
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Female,2019/20,290
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Male,2019/20,165
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Scotland,Total,2019/20,455
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Female,2019/20,190
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Male,2019/20,110
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Scotland,Total,2019/20,300
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Female,2019/20,95
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Male,2019/20,60
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Scotland,Total,2019/20,155
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Female,2019/20,190
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Male,2019/20,100
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),All,Wales,Total,2019/20,295
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Female,2019/20,80
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Male,2019/20,45
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Full-time,Wales,Total,2019/20,125
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Female,2019/20,110
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Male,2019/20,60
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,Postgraduate (taught),Part-time,Wales,Total,2019/20,170
01 Medicine and dentistry,All postgraduate,All,All,Female,2019/20,5235
01 Medicine and dentistry,All postgraduate,All,All,Male,2019/20,3145
01 Medicine and dentistry,All postgraduate,All,All,Other,2019/20,25
01 Medicine and dentistry,All postgraduate,All,All,Total,2019/20,8405
01 Medicine and dentistry,All postgraduate,Full-time,All,Female,2019/20,3340
01 Medicine and dentistry,All postgraduate,Full-time,All,Male,2019/20,1865
01 Medicine and dentistry,All postgraduate,Full-time,All,Other,2019/20,15
01 Medicine and dentistry,All postgraduate,Full-time,All,Total,2019/20,5225
01 Medicine and dentistry,All postgraduate,Part-time,All,Female,2019/20,1895
01 Medicine and dentistry,All postgraduate,Part-time,All,Male,2019/20,1280
01 Medicine and dentistry,All postgraduate,Part-time,All,Other,2019/20,10
01 Medicine and dentistry,All postgraduate,Part-time,All,Total,2019/20,3180
01 Medicine and dentistry,All postgraduate,All,England,Female,2019/20,4455
01 Medicine and dentistry,All postgraduate,All,England,Male,2019/20,2650
01 Medicine and dentistry,All postgraduate,All,England,Other,2019/20,20
01 Medicine and dentistry,All postgraduate,All,England,Total,2019/20,7125
01 Medicine and dentistry,All postgraduate,Full-time,England,Female,2019/20,2835
01 Medicine and dentistry,All postgraduate,Full-time,England,Male,2019/20,1530
01 Medicine and dentistry,All postgraduate,Full-time,England,Other,2019/20,10
01 Medicine and dentistry,All postgraduate,Full-time,England,Total,2019/20,4380
01 Medicine and dentistry,All postgraduate,Part-time,England,Female,2019/20,1625
01 Medicine and dentistry,All postgraduate,Part-time,England,Male,2019/20,1115
01 Medicine and dentistry,All postgraduate,Part-time,England,Other,2019/20,10
01 Medicine and dentistry,All postgraduate,Part-time,England,Total,2019/20,2750
01 Medicine and dentistry,All postgraduate,All,Northern Ireland,Female,2019/20,105
01 Medicine and dentistry,All postgraduate,All,Northern Ireland,Male,2019/20,70
01 Medicine and dentistry,All postgraduate,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,All,Northern Ireland,Total,2019/20,170
01 Medicine and dentistry,All postgraduate,Full-time,Northern Ireland,Female,2019/20,75
01 Medicine and dentistry,All postgraduate,Full-time,Northern Ireland,Male,2019/20,45
01 Medicine and dentistry,All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Full-time,Northern Ireland,Total,2019/20,120
01 Medicine and dentistry,All postgraduate,Part-time,Northern Ireland,Female,2019/20,30
01 Medicine and dentistry,All postgraduate,Part-time,Northern Ireland,Male,2019/20,20
01 Medicine and dentistry,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Part-time,Northern Ireland,Total,2019/20,50
01 Medicine and dentistry,All postgraduate,All,Scotland,Female,2019/20,440
01 Medicine and dentistry,All postgraduate,All,Scotland,Male,2019/20,280
01 Medicine and dentistry,All postgraduate,All,Scotland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,All,Scotland,Total,2019/20,720
01 Medicine and dentistry,All postgraduate,Full-time,Scotland,Female,2019/20,320
01 Medicine and dentistry,All postgraduate,Full-time,Scotland,Male,2019/20,205
01 Medicine and dentistry,All postgraduate,Full-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Full-time,Scotland,Total,2019/20,525
01 Medicine and dentistry,All postgraduate,Part-time,Scotland,Female,2019/20,120
01 Medicine and dentistry,All postgraduate,Part-time,Scotland,Male,2019/20,80
01 Medicine and dentistry,All postgraduate,Part-time,Scotland,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Part-time,Scotland,Total,2019/20,200
01 Medicine and dentistry,All postgraduate,All,Wales,Female,2019/20,235
01 Medicine and dentistry,All postgraduate,All,Wales,Male,2019/20,150
01 Medicine and dentistry,All postgraduate,All,Wales,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,All,Wales,Total,2019/20,385
01 Medicine and dentistry,All postgraduate,Full-time,Wales,Female,2019/20,115
01 Medicine and dentistry,All postgraduate,Full-time,Wales,Male,2019/20,85
01 Medicine and dentistry,All postgraduate,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Full-time,Wales,Total,2019/20,200
01 Medicine and dentistry,All postgraduate,Part-time,Wales,Female,2019/20,120
01 Medicine and dentistry,All postgraduate,Part-time,Wales,Male,2019/20,65
01 Medicine and dentistry,All postgraduate,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All postgraduate,Part-time,Wales,Total,2019/20,185
