,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
828,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Other,0
829,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,England,10
830,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Scotland,300
831,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Wales,0
832,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Northern Ireland,5
833,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Other UK,0
834,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Total UK  ,315
835,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Other European Union,35
836,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Non-European Union,5
837,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Total Non-UK,40
838,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Not known,0
839,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2015/16,Total,Total,355
882,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Sex,Female,715
883,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Sex,Male,795
884,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Sex,Other,0
885,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,England,30
886,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Scotland,1200
887,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Wales,0
888,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Northern Ireland,10
889,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Other UK,0
890,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Total UK  ,1240
891,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Other European Union,220
892,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Non-European Union,45
893,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Total Non-UK,270
894,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Domicile,Not known,0
895,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2015/16,Total,Total,1510
896,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Female,610
897,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Male,745
898,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Other,0
899,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,England,30
900,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Scotland,1055
901,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Wales,0
902,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Northern Ireland,10
903,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Other UK,0
904,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Total UK  ,1095
905,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Other European Union,220
906,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Non-European Union,45
907,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Total Non-UK,260
908,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Not known,0
909,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2015/16,Total,Total,1355
910,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Female,105
911,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Male,45
912,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Sex,Other,0
913,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,England,0
914,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Scotland,145
915,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Wales,0
916,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Northern Ireland,0
917,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Other UK,0
918,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Total UK  ,145
919,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Other European Union,5
920,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Non-European Union,5
921,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Total Non-UK,5
922,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Domicile,Not known,0
923,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2015/16,Total,Total,155
966,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Sex,Female,1155
967,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Sex,Male,1340
968,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Sex,Other,0
969,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,England,120
970,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Scotland,2045
971,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Wales,5
972,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Northern Ireland,95
973,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Other UK,0
974,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Total UK  ,2265
975,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Other European Union,190
976,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Non-European Union,40
977,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Total Non-UK,230
978,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Domicile,Not known,0
979,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2015/16,Total,Total,2495
980,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Female,1065
981,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Male,1235
