,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
495,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Wales,5
496,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Northern Ireland,5
497,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other UK,0
498,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total UK  ,950
499,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other European Union,40
500,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Non-European Union,30
501,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total Non-UK,70
502,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Not known,0
503,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Total,Total,1020
798,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Female,1810
799,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Male,2030
800,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Other,5
801,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,England,120
802,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Scotland,3115
803,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Wales,0
804,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Northern Ireland,65
805,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Other UK,0
806,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Total UK  ,3300
807,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Other European Union,450
808,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Non-European Union,95
809,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Total Non-UK,545
810,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Not known,0
811,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Total,Total,3845
812,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Female,1580
813,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Male,1845
814,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Other,5
815,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,England,110
816,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Scotland,2760
817,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Wales,0
818,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Northern Ireland,60
819,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Other UK,0
820,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Total UK  ,2930
821,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Other European Union,415
822,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Non-European Union,80
823,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Total Non-UK,495
824,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Not known,0
825,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Total,Total,3430
826,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Female,235
827,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Male,185
828,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Other,0
829,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,England,5
830,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Scotland,360
831,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Wales,0
832,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Northern Ireland,5
833,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Other UK,0
834,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Total UK  ,370
835,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Other European Union,35
836,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Non-European Union,15
837,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Total Non-UK,50
838,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Not known,0
839,10007849.0,Abertay University,Scotland,Scotland,All,All,Part-time,2016/17,Total,Total,420
882,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Sex,Female,705
883,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Sex,Male,785
884,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Sex,Other,0
885,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,England,35
886,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Scotland,1180
887,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Wales,0
888,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Northern Ireland,10
889,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Other UK,0
890,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Total UK  ,1225
891,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Other European Union,225
892,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Non-European Union,45
893,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Total Non-UK,265
894,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Domicile,Not known,0
895,10007849.0,Abertay University,Scotland,Scotland,First year,All,All,2016/17,Total,Total,1490
896,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Female,590
897,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Male,740
898,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Other,0
899,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,England,35
900,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Scotland,1025
901,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Wales,0
902,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Northern Ireland,10
903,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Other UK,0
904,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Total UK  ,1075
905,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Other European Union,220
906,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Non-European Union,35
907,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Total Non-UK,255
908,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Not known,0
909,10007849.0,Abertay University,Scotland,Scotland,First year,All,Full-time,2016/17,Total,Total,1330
910,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Female,115
